Sender, Receiver, #hops, Total Time
1, 135, 9, 45000.033577
1, 169, 12, 59999.980016
1, 42, 13, 35000.020160
1, 64, 9, 30000.004183
1, 133, 13, 50000.003618
1, 18, 3, 14999.998978
1, 124, 15, 28999.986861
1, 35, 6, 15999.998666
1, 166, 18, 34999.987970
1, 68, 11, 24999.994613
1, 142, 11, 40000.009715
1, 15, 1, 5000.004419
1, 170, 12, 44999.991006
1, 13, 12, 60000.032402
1, 129, 9, 31999.976362
1, 169, 12, 58000.004250
1, 185, 13, 49999.973741
1, 69, 12, 30000.004248
1, 55, 12, 30000.027068
1, 40, 11, 24999.970180
1, 141, 10, 50000.020907
1, 178, 18, 68999.986656
1, 47, 5, 15999.989750
1, 111, 15, 30000.006157
1, 72, 6, 24999.992838
1, 27, 12, 35000.043993
1, 125, 16, 29999.966876
1, 142, 11, 40000.005399
1, 44, 3, 14999.985016
1, 56, 13, 35000.026513
1, 39, 11, 24999.984569
1, 140, 18, 40000.020028
1, 117, 11, 44999.984217
1, 188, 15, 50000.027460
1, 182, 19, 39999.992707
1, 122, 17, 34999.965526
1, 19, 5, 25000.012060
1, 93, 12, 40000.017834
1, 83, 13, 30000.006336
1, 60, 4, 19999.968143
1, 25, 10, 30000.022423
1, 192, 19, 70000.011798
1, 60, 4, 19999.958272
1, 103, 9, 35000.041426
1, 141, 10, 49999.991492
1, 82, 12, 25999.975674
1, 34, 5, 18000.007921
1, 52, 10, 21000.004439
1, 2, 1, 5000.002825
1, 168, 19, 40000.012717
1, 17, 2, 9999.988161
1, 107, 13, 45000.001249
1, 58, 4, 19999.987559
1, 186, 14, 45000.029799
1, 111, 15, 30000.004419
1, 180, 12, 59999.985796
1, 35, 6, 19999.986344
1, 111, 15, 29999.997437
1, 102, 8, 29999.999718
1, 115, 8, 30000.015115
1, 80, 12, 30000.009756
1, 13, 12, 59999.962386
1, 118, 11, 45000.032928
1, 100, 8, 29999.963537
1, 99, 7, 35000.003271
1, 32, 4, 20000.031322
1, 54, 12, 29999.994558
1, 116, 9, 34999.991854
1, 180, 12, 59999.998379
1, 134, 15, 60000.024674
1, 23, 9, 29999.955970
1, 8, 7, 35000.046567
1, 137, 17, 34999.966288
1, 26, 12, 35000.027554
1, 180, 12, 59999.966695
1, 93, 12, 40000.002745
1, 150, 10, 50000.031924
1, 83, 13, 29999.974265
1, 142, 11, 39999.992625
1, 125, 16, 29999.991227
1, 77, 9, 35000.006856
1, 32, 4, 20000.016682
