Sender, Receiver, Distance, #hops, Total Time, Used Backbone
1, 196, 179.095312, 20, 45000.006192, false
1, 98, 142.559640, 15, 35000.002927, false
1, 91, 82.659375, 6, 30000.042640, false
1, 73, 51.134477, 5, 19999.971377, true
1, 3, 20.142857, 2, 10000.013378, false
1, 3, 20.142857, 2, 10000.015552, false
1, 101, 68.814059, 7, 28999.961381, true
1, 165, 144.343089, 11, 50999.992412, true
1, 46, 41.329687, 3, 15000.014034, true
1, 42, 132.271429, 13, 34999.999873, false
1, 16, 13.776562, 1, 4999.991153, false
1, 114, 75.871429, 9, 34999.999025, false
1, 149, 123.805311, 17, 65000.027771, false
1, 35, 63.285482, 6, 19999.991067, true
1, 37, 82.735694, 8, 22000.025501, true
1, 76, 68.882812, 5, 22999.958176, false
1, 127, 84.600000, 9, 45000.005282, false
1, 33, 44.456482, 4, 17999.998894, true
1, 142, 94.538001, 11, 37000.013552, false
1, 132, 98.453044, 13, 49999.986908, false
1, 65, 88.912964, 10, 30000.029104, false
1, 190, 141.078312, 17, 59999.976804, false
1, 72, 48.066971, 6, 24999.983779, false
1, 99, 65.800000, 7, 35000.039403, false
1, 96, 124.315866, 13, 26999.987814, true
1, 123, 125.691716, 16, 27999.994787, false
1, 93, 98.349962, 12, 40000.017830, false
1, 4, 30.214286, 3, 15000.003962, false
1, 160, 115.010442, 14, 49999.979419, false
1, 186, 125.879876, 14, 45000.023691, false
1, 189, 136.324804, 16, 49999.962036, false
1, 108, 112.007891, 16, 35000.012606, false
1, 3, 20.142857, 2, 9999.996597, false
1, 31, 27.553125, 2, 9999.980418, false
1, 90, 75.609535, 6, 30000.000843, false
1, 21, 61.155312, 7, 30000.024421, false
1, 137, 131.531469, 17, 34999.984414, false
1, 181, 165.318750, 19, 39999.992667, false
1, 23, 81.117909, 9, 30000.021816, false
1, 189, 136.324804, 16, 49999.995959, false
1, 17, 22.228241, 2, 10000.021802, false
1, 149, 123.805311, 17, 64999.958049, false
1, 115, 77.850977, 8, 30000.017902, true
1, 30, 21.327768, 2, 10000.003959, false
1, 34, 53.752040, 5, 19000.014522, true
1, 104, 82.858203, 11, 40999.977838, false
1, 120, 103.079047, 8, 40000.004796, false
1, 175, 127.966606, 15, 55000.007921, true
1, 128, 85.197381, 10, 35000.012272, false
1, 142, 94.538001, 11, 39999.971337, false
1, 43, 28.200000, 3, 14999.989658, false
1, 168, 166.834801, 19, 40000.023836, false
1, 166, 151.542187, 18, 35000.007862, false
1, 111, 137.608463, 15, 29999.983614, false
1, 88, 63.983303, 7, 29999.999008, false
1, 3, 20.142857, 2, 10000.004171, false
1, 92, 90.284052, 11, 40000.004106, false
1, 31, 27.553125, 2, 9999.977401, false
1, 131, 93.702181, 11, 40000.008553, true
1, 61, 55.106250, 4, 20000.034402, false
1, 133, 103.965245, 13, 49999.971462, false
1, 119, 96.470992, 13, 55000.028565, false
1, 92, 90.284052, 11, 39999.956452, false
1, 123, 125.691716, 16, 30000.000526, false
1, 184, 122.614329, 13, 50000.002376, false
1, 102, 72.405408, 8, 30000.017034, false
1, 112, 146.533037, 16, 35000.024550, false
1, 66, 98.131990, 11, 24999.974271, false
1, 105, 89.337854, 7, 35000.015596, true
1, 63, 71.171429, 8, 29999.968647, false
1, 177, 138.620327, 17, 65000.026949, true
1, 39, 102.453928, 11, 24999.983516, false
1, 28, 131.265574, 14, 45000.010930, false
1, 27, 121.222147, 12, 34999.989448, false
1, 130, 89.833530, 11, 40000.007918, false
1, 101, 68.814059, 7, 29000.013848, true
1, 69, 126.570964, 12, 25999.976956, false
1, 95, 115.431050, 14, 30000.004970, false
1, 96, 124.315866, 13, 26999.983564, true
1, 148, 117.500000, 15, 53000.000384, false
1, 78, 84.730455, 10, 35000.017283, false
1, 80, 102.103514, 12, 30000.024600, false
1, 24, 91.128961, 10, 29999.982042, false
1, 190, 141.078312, 17, 59999.976197, false
1, 110, 128.853073, 14, 28000.019825, true
1, 59, 42.655535, 4, 14000.002957, true
1, 57, 37.600000, 4, 18000.008528, false
1, 94, 106.757143, 15, 34999.992970, false
1, 114, 75.871429, 9, 35000.018580, false
1, 38, 92.571959, 9, 23000.000872, true
1, 170, 113.248725, 12, 41999.977114, false
1, 43, 28.200000, 3, 14999.992895, false
1, 167, 159.053478, 18, 34999.998058, false
1, 107, 104.025935, 13, 44999.995705, false
1, 23, 81.117909, 9, 30000.013588, false
1, 125, 142.342857, 16, 29999.985021, false
1, 84, 139.108917, 14, 35000.014053, false
1, 104, 82.858203, 11, 44999.997791, false
1, 51, 85.363898, 9, 25000.012499, false
1, 47, 49.174981, 5, 19999.979307, false
