Sender, Receiver, Distance, #hops, Total Time, Used Backbone, Order
1, 196, 179.095312, 15, 130000.011667, false, 14
1, 7, 60.428571, 6, 60000.031276, false, 20
1, 7, 60.428571, 6, 59999.964784, false, 26
1, 7, 60.428571, 6, 59999.997546, false, 32
1, 7, 60.428571, 6, 60000.029977, false, 38
1, 7, 60.428571, 6, 59999.969981, false, 44
1, 7, 60.428571, 6, 60000.004244, false, 50
1, 7, 60.428571, 6, 59999.994691, false, 56
1, 7, 60.428571, 6, 60000.016734, false, 62
1, 7, 60.428571, 6, 60000.017439, false, 68
1, 7, 60.428571, 6, 59999.965797, false, 74
1, 7, 60.428571, 6, 60000.025796, false, 80
1, 7, 60.428571, 6, 60000.000541, false, 86
1, 7, 60.428571, 6, 59999.979300, false, 92
1, 7, 60.428571, 6, 60000.038564, false, 98
1, 7, 60.428571, 6, 59999.985067, false, 104
1, 7, 60.428571, 6, 59999.977679, false, 110
1, 7, 60.428571, 6, 60000.033337, false, 116
1, 7, 60.428571, 6, 59999.979013, false, 122
1, 7, 60.428571, 6, 59999.989462, false, 128
1, 7, 60.428571, 6, 59999.993373, false, 134
1, 7, 60.428571, 6, 59999.995863, false, 140
1, 7, 60.428571, 6, 60000.022310, false, 146
1, 7, 60.428571, 6, 60000.019554, false, 152
1, 7, 60.428571, 6, 59999.999849, false, 158
1, 7, 60.428571, 6, 59999.987807, false, 164
1, 7, 60.428571, 6, 60000.000364, false, 170
1, 7, 60.428571, 6, 59999.986609, false, 176
1, 7, 60.428571, 6, 60000.022644, false, 182
1, 7, 60.428571, 6, 60000.003575, false, 188
1, 7, 60.428571, 6, 59999.969683, false, 194
1, 7, 60.428571, 6, 60000.029005, false, 200
1, 7, 60.428571, 6, 59999.988295, false, 206
1, 7, 60.428571, 6, 59999.985821, false, 212
1, 7, 60.428571, 6, 60000.002170, false, 218
1, 7, 60.428571, 6, 59999.991135, false, 224
1, 7, 60.428571, 6, 60000.016521, false, 230
1, 7, 60.428571, 6, 60000.009247, false, 236
1, 7, 60.428571, 6, 59999.991988, false, 242
1, 7, 60.428571, 6, 59999.987889, false, 248
1, 7, 60.428571, 6, 60000.030044, false, 254
1, 7, 60.428571, 6, 59999.976564, false, 260
1, 7, 60.428571, 6, 59999.981606, false, 266
1, 7, 60.428571, 6, 60000.007872, false, 272
1, 7, 60.428571, 6, 60000.035155, false, 278
1, 7, 60.428571, 6, 59999.979734, false, 284
1, 7, 60.428571, 6, 60000.010164, false, 290
1, 7, 60.428571, 6, 60000.008457, false, 296
1, 7, 60.428571, 6, 59999.976156, false, 302
1, 7, 60.428571, 6, 59999.979624, false, 308
1, 7, 60.428571, 6, 60000.037282, false, 314
1, 7, 60.428571, 6, 60000.005813, false, 320
1, 7, 60.428571, 6, 59999.966807, false, 326
1, 7, 60.428571, 6, 60000.007189, false, 332
1, 7, 60.428571, 6, 59999.995426, false, 338
1, 7, 60.428571, 6, 60000.013032, false, 344
1, 7, 60.428571, 6, 60000.001899, false, 350
1, 7, 60.428571, 6, 59999.989317, false, 356
1, 7, 60.428571, 6, 60000.023964, false, 362
1, 7, 60.428571, 6, 59999.979468, false, 368
1, 7, 60.428571, 6, 60000.002081, false, 374
1, 7, 60.428571, 6, 60000.002453, false, 380
1, 7, 60.428571, 6, 59999.988044, false, 386
1, 7, 60.428571, 6, 60000.034428, false, 392
1, 7, 60.428571, 6, 59999.995060, false, 398
1, 7, 60.428571, 6, 59999.957135, false, 404
1, 7, 60.428571, 6, 60000.035403, false, 410
1, 7, 60.428571, 6, 59999.988335, false, 416
1, 7, 60.428571, 6, 59999.986303, false, 422
1, 7, 60.428571, 6, 60000.016559, false, 428
1, 7, 60.428571, 6, 59999.994243, false, 434
1, 7, 60.428571, 6, 59999.994483, false, 440
1, 7, 60.428571, 6, 60000.022373, false, 446
1, 7, 60.428571, 6, 60000.002309, false, 452
1, 7, 60.428571, 6, 59999.965299, false, 458
1, 7, 60.428571, 6, 60000.024510, false, 464
1, 7, 60.428571, 6, 60000.000006, false, 470
1, 7, 60.428571, 6, 59999.990365, false, 476
1, 7, 60.428571, 6, 60000.011222, false, 482
1, 7, 60.428571, 6, 60000.010728, false, 488
1, 7, 60.428571, 6, 59999.974075, false, 494
1, 7, 60.428571, 6, 60000.000517, false, 500
1, 7, 60.428571, 6, 59999.996392, false, 506
1, 7, 60.428571, 6, 60000.008410, false, 512
1, 7, 60.428571, 6, 60000.017550, false, 518
1, 7, 60.428571, 6, 59999.982318, false, 524
1, 7, 60.428571, 6, 59999.980310, false, 530
1, 7, 60.428571, 6, 60000.031179, false, 536
1, 7, 60.428571, 6, 59999.986588, false, 542
1, 7, 60.428571, 6, 60000.000694, false, 548
1, 7, 60.428571, 6, 60000.017667, false, 554
1, 7, 60.428571, 6, 59999.962624, false, 560
1, 7, 60.428571, 6, 60000.043869, false, 566
1, 7, 60.428571, 6, 59999.974333, false, 572
1, 7, 60.428571, 6, 60000.018237, false, 578
1, 7, 60.428571, 6, 59999.997248, false, 584
1, 7, 60.428571, 6, 59999.993322, false, 590
1, 7, 60.428571, 6, 60000.019987, false, 596
1, 7, 60.428571, 6, 59999.969698, false, 602
1, 7, 60.428571, 6, 60000.013898, false, 608
