Sender, Receiver, Distance, #hops, Total Time, Used Backbone
1, 196, 179.095312, 20, 80000.040345, false
1, 88, 63.983303, 7, 49999.970536, false
1, 75, 61.902656, 5, 50000.023101, false
1, 172, 116.776466, 13, 89999.985708, false
1, 25, 101.152001, 10, 59999.988873, false
1, 43, 28.200000, 3, 30000.029858, false
1, 181, 165.318750, 19, 69999.979939, false
1, 71, 47.000000, 5, 49999.987370, false
1, 184, 122.614329, 13, 100000.022667, false
1, 179, 151.219071, 12, 119999.994834, false
1, 142, 94.538001, 11, 80000.007097, false
1, 139, 147.524944, 17, 60000.012419, false
1, 79, 93.277838, 11, 69999.967310, false
1, 172, 116.776466, 13, 90000.000169, false
1, 98, 142.559640, 15, 60000.019641, false
1, 21, 61.155312, 7, 59999.984441, false
1, 80, 102.103514, 12, 60000.019146, false
1, 173, 119.778040, 13, 89000.015229, true
1, 93, 98.349962, 12, 70999.977700, false
1, 42, 132.271429, 13, 60000.013194, false
1, 159, 110.970711, 14, 89999.987831, false
1, 101, 68.814059, 7, 50000.017416, true
1, 38, 92.571959, 9, 42999.971726, true
1, 138, 139.393811, 16, 47000.018388, true
1, 93, 98.349962, 12, 80000.000729, false
1, 63, 71.171429, 8, 60000.010543, false
1, 83, 129.674396, 13, 49999.979135, false
1, 179, 151.219071, 12, 120000.023968, false
1, 103, 77.152957, 9, 69999.970575, false
1, 76, 68.882812, 5, 50000.032344, false
1, 36, 72.963621, 7, 40999.965574, true
1, 62, 62.845858, 7, 49000.000756, false
1, 193, 158.354688, 19, 140000.006434, false
1, 148, 117.500000, 15, 109999.981032, false
1, 124, 133.897403, 15, 49000.044900, true
1, 15, 9.400000, 1, 999.963776, false
1, 124, 133.897403, 15, 48999.991580, true
1, 32, 35.585714, 4, 31000.024991, false
1, 81, 111.141205, 13, 49999.982418, false
1, 38, 92.571959, 9, 43000.038828, true
1, 31, 27.553125, 2, 16999.953469, false
1, 127, 84.600000, 9, 90000.005509, false
1, 77, 76.554636, 9, 70000.030917, false
1, 173, 119.778040, 13, 89000.011703, true
1, 89, 69.310164, 8, 50999.995580, false
1, 162, 125.147153, 16, 120000.002200, false
1, 77, 76.554636, 9, 69999.990828, false
1, 6, 50.357143, 5, 50000.007257, false
1, 196, 179.095312, 20, 79999.957937, false
1, 110, 128.853073, 14, 48000.009123, true
1, 102, 72.405408, 8, 51999.988818, false
1, 179, 151.219071, 12, 120000.019323, false
1, 45, 34.655082, 3, 29999.995752, false
1, 6, 50.357143, 5, 50000.028687, false
1, 176, 133.019134, 16, 115999.978264, true
1, 49, 66.684723, 7, 43999.984295, false
1, 192, 152.147848, 19, 140000.006504, false
1, 67, 107.504081, 11, 50000.014668, false
1, 139, 147.524944, 17, 59999.999153, false
1, 17, 22.228241, 2, 19999.977615, false
1, 73, 51.134477, 5, 40000.040058, true
1, 17, 22.228241, 2, 20000.004417, false
1, 22, 71.123906, 8, 59999.989242, false
1, 60, 48.235496, 4, 39999.979025, false
1, 133, 103.965245, 13, 90000.013476, false
1, 150, 130.583795, 10, 100000.017494, false
1, 150, 130.583795, 10, 99999.994144, false
1, 155, 103.400000, 11, 109999.987004, false
1, 7, 60.428571, 6, 60000.000752, false
1, 170, 113.248725, 12, 89999.986791, false
1, 91, 82.659375, 6, 60000.002248, false
1, 65, 88.912964, 10, 60000.010550, false
1, 118, 90.503491, 11, 80000.010915, true
1, 182, 172.818202, 19, 69999.997792, false
1, 175, 127.966606, 15, 110000.000483, true
1, 21, 61.155312, 7, 59999.978930, false
1, 180, 158.105390, 12, 120000.005825, false
1, 122, 117.775921, 17, 60000.002179, false
1, 7, 60.428571, 6, 59999.985923, false
1, 79, 93.277838, 11, 69999.990112, false
1, 81, 111.141205, 13, 50000.033812, false
1, 167, 159.053478, 18, 59999.983639, false
1, 100, 66.566310, 8, 60000.020153, false
1, 14, 130.928571, 13, 129999.978539, false
1, 6, 50.357143, 5, 50000.001158, false
1, 190, 141.078312, 17, 120000.029147, false
1, 155, 103.400000, 11, 109999.978593, false
1, 76, 68.882812, 5, 49999.974874, false
1, 109, 120.303813, 15, 50000.021626, false
1, 179, 151.219071, 12, 120000.004896, false
1, 160, 115.010442, 14, 100000.004793, false
1, 167, 159.053478, 18, 59999.986735, false
1, 93, 98.349962, 12, 79999.996319, false
1, 129, 86.964905, 9, 59999.993130, true
1, 178, 144.706488, 18, 134000.014106, true
1, 109, 120.303813, 15, 45999.977046, false
1, 4, 30.214286, 3, 30000.020577, false
1, 51, 85.363898, 9, 50000.024679, false
1, 47, 49.174981, 5, 39999.959616, false
1, 19, 41.367847, 5, 50000.039192, false
